GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
251,3,2,0,3,2,1,6,3,3,3,9,5,10,3,3,2,3,1,1400,340,270,2010
220,3,1,3,0,0,2,5,3,3,5,12,2,39,4,7,0,4,2,540,280,1130,1950
228,3,1,1,2,1,3,6,3,3,4,13,1,10,4,4,0,2,0,1130,280,280,1690
142,3,0,0,2,1,6,4,1,1,2,9,5,13,2,5,17,9,10,720,-50,300,970
229,3,1,1,0,2,3,1,3,3,1,9,6,17,4,4,1,6,2,710,430,450,1590
144,3,0,0,4,0,12,12,0,1,8,14,14,12,3,7,21,28,11,1130,310,80,1520
217,3,0,1,2,0,8,7,2,2,5,20,7,24,3,1,0,8,0,1270,460,640,2370
218,3,0,2,2,1,1,4,3,3,2,8,11,11,8,8,0,2,0,590,920,310,1820
253,3,1,1,4,1,2,6,2,2,2,8,4,13,3,4,0,8,2,1150,300,310,1760
234,3,1,1,2,1,2,5,2,2,3,11,6,24,1,11,1,10,0,810,290,620,1720
254,3,3,0,6,4,4,10,2,2,4,17,5,10,3,1,0,6,0,2710,380,240,3330
161,3,2,0,3,1,3,4,2,3,1,7,2,12,0,3,0,3,0,1100,80,330,1510
219,3,0,3,0,3,3,4,3,3,4,9,7,6,5,5,0,4,4,710,500,140,1350
239,3,0,0,2,0,1,5,1,2,3,11,8,20,3,6,0,2,4,720,420,580,1720
248,3,2,0,5,1,2,5,3,3,0,6,4,3,4,3,1,1,2,1340,350,80,1770
237,3,0,0,4,0,1,4,2,2,0,9,1,13,0,5,5,4,4,890,-90,350,1150
232,3,3,2,3,2,6,5,2,2,2,7,5,14,6,5,1,3,2,1260,510,390,2160
346,3,1,2,2,1,6,4,2,2,2,11,8,27,4,5,0,8,1,910,540,730,2180
159,3,0,1,2,0,5,6,2,3,4,4,2,9,5,3,0,3,0,420,380,240,1040
351,3,1,3,1,1,4,5,2,2,4,20,6,32,4,6,2,14,4,1220,380,820,2420
137,3,2,1,13,1,2,15,2,3,2,16,9,7,2,0,0,6,1,3150,460,150,3760
138,3,0,2,2,0,4,11,2,3,9,18,10,20,4,4,6,11,2,1180,540,490,2210
139,3,0,2,1,0,3,4,1,3,3,17,10,12,2,7,13,16,7,780,250,200,1230
140,3,0,1,5,1,9,8,1,2,3,3,7,7,3,5,2,5,1,840,420,160,1420
141,3,0,2,1,0,5,3,2,3,2,6,12,11,2,5,5,12,3,250,490,210,950
145,3,0,3,2,0,1,7,2,2,5,5,0,10,0,1,0,3,0,550,0,270,820
146,3,2,4,4,0,4,5,2,3,1,7,1,5,11,2,0,0,4,1050,620,150,1820
147,3,0,1,0,0,1,3,2,2,3,4,0,15,0,2,0,4,0,170,0,410,580
148,3,0,1,1,0,0,1,2,2,0,3,0,6,0,1,0,2,0,250,0,160,410
149,3,0,0,1,1,2,8,2,3,7,15,0,7,0,6,0,3,0,980,0,180,1160
152,3,0,2,1,0,0,4,1,2,3,11,0,14,0,3,0,2,0,630,0,400,1030
153,3,0,0,0,0,3,2,2,2,2,6,0,4,0,2,0,1,0,250,0,110,360
154,3,1,6,1,0,4,4,2,2,3,4,0,9,0,3,0,1,0,290,0,260,550
155,3,3,0,7,3,3,13,1,3,6,13,0,14,0,2,0,2,0,2540,0,400,2940
156,3,0,4,0,0,3,3,2,3,3,19,4,12,7,7,0,1,0,690,580,350,1620
157,3,0,1,1,0,0,6,2,2,5,6,2,6,2,7,0,4,2,320,160,140,620
